date,city,cargo on y/n,cargo off y/n,packages on #,packages off #,goods-on name,goods-off name,
1865-10-25,Qurnah,0,1,,,,75 packages,
1865-10-30,Defass,1,0,,,"wood, cargo, coal",,
1865-10-31,Maghesil,1,0,,,wood,,
1865-11-01,Kut,0,1,,,,bale of cloth,
1865-11-01,Memlah,1,0,,,wood,,
1865-11-02,Qubba,1,0,,,"wood, coal",,
1865-11-03,Step = Bastan,1,0,,,wood,,
1865-11-06,Baghdad,1,0,,,"40 lakhs wheat, wool; 65,000 okkas total",,
1865-11-09,Diwaniyah,1,0,,,wood,,
1865-11-10,Qubba,1,0,,,"wood, coal",,
1865-11-11,Kut,1,1,,,"wood, coal, cargo",8 bales,
1865-11-12,Maghesil,1,0,,,wood,,
1865-11-13,Defass,1,1,,,wood,cargo,
1865-11-14,Maghil,1,0,,,20 tons coal,,
1865-11-15,Basra,1,0,,,"30,000 okkas",,
1865-11-19,Defass,1,0,,,"wood, cargo, 63 bales wool",,
1865-11-21,Kut,1,0,,,"wood, cargo, 32 bags sesame seeds, 8 bales 'abas",,
1865-11-23,Bastan,1,0,,,wood,,
1865-11-23,Baghdad,1,0,,,55 lakhs wheat,,
1865-11-30,Memlah,1,0,,,wood,,
1865-12-01,Kut,1,0,,,"wood, coal",,
1865-12-02,Defass,0,1,,,,cargo,
1865-12-03,Maghil,1,0,,,10 tons coal,,
1865-12-04,Basra,1,1,,,"70,000 okkas",31 lakhs wheat,
1865-12-08,Defass,1,0,,,"wood, hides",,
1865-12-09,Maghesil,1,0,,,wood ,,
1865-12-09,Shaykh Saad,1,0,,,2000 okkas,,
1865-12-10,Kut,1,0,,,wood,,
1865-12-11,Qubba,1,0,,,"wood, coal",,
1865-12-12,Baghdad,1,0,,,60 lakhs wheat,,
1865-12-19,Qubba,1,0,,,wood,,
1865-12-20,Kut,1,0,,,wood,,
1865-12-21,Maghesil,1,0,,,wood,,
1865-12-22,Defass,0,1,,,,cargo,
1865-12-23,Maghil ,1,0,,,343 bags tobacco,,
1865-12-24,Basra,1,0,,,"40,000 okkas",,
1865-12-28,Defass,1,0,,,"wood, 8 bales cotton, 2-3 other packages",,
1865-12-29,Kut,1,0,,,wood,,
1865-12-30,Qubba,1,0,,,wood,,
1865-12-31,Baghdad,1,0,,,60 lakhs wheat,,
1866-01-08,Step = Bastan,1,0,,,wood,,
1866-01-09,Memlah,1,0,,,wood,,
1866-01-10,Kut,1,1,,,"wood, 60 baskets coal",cloth,
1866-01-11,Defass,1,0,,,wood,,
1866-01-12,Qurnah,0,1,,,,25 packages,
1866-01-12,Maghil,1,0,,,18 tons coal,,
1866-01-15,Basra,0,1,,,,60 taghars wheat,
1866-01-19,Defass,1,1,,,400 hides,9 bales cloth,
1866-01-20,Kut,0,1,,,,6 bales,
1866-01-21,Qubba,1,0,,,2 tons coal,,
1866-01-22,Baghdad,1,0,,,"40 bales wool, 25 taghars wheat",,
1866-01-31,Kut,1,1,,,wood,cargo,
1866-02-02,Defass,1,1,,,wood,cargo,
1866-02-02,Qurnah,0,1,,,,67 bales,
1866-02-03,Basra,1,1,,,"sugar, beer, ammonia, candles, lampshades, copper, paint; total  86,900 okkas",64 bales,
1866-02-08,Qurnah,1,0,,,22 hides,,
1866-02-09,Defass,1,1,,,buffalo hides,13 bales,
1866-02-11,Kut,1,0,,,coal,,
1866-02-12,Qubba,1,0,,,2 tons coal,,
1866-02-14,Baghdad,1,0,,,75 taghars wheat,,
1866-02-19,Ctesiphon,1,0,,,wood,,
1866-02-20,Memlah,1,0,,,wood,,
1866-02-21,Kut,1,1,,,coal,21 bales,
1866-02-21,Maghesil,1,0,,,wood,,
1866-02-22,Defass,0,1,,,,13 packages,
1866-02-23,Qurna,1,0,,,native kit,,
1866-02-23,Basra,1,1,,,75 cases indigo,"10 cases indigo, 55 bales wheat",
1866-02-26,Maghil,1,0,,,"15 tons coal, sugar, iron bars; 32,000 okkaks total",,
1866-02-26,Defass,1,0,,,"5 tons coal, 60 buffalo hides",,
1866-02-28,Kut,1,1,,,4 tons coal,4 bales,
1866-03-01,Baghdad,1,0,,,"35 taghars wheat, cargo",,
1866-03-08,Bustan,1,0,,,wood,,
1866-03-09,Memlah,1,0,,,wood,,
1866-03-10,Maghesil,1,0,,,wood,,
1866-03-11,Defass,1,1,,,15 baskets coal,8 packages,
1866-03-12,Maghil,1,0,,,"16.5 tons coal, 14 tons wood",,
1866-03-16,Basra,1,0,,,"50,000 okkas",,
1886-03-19,Maghil,1,0,,,26.5 tons wood,,
1866-03-20,Defass,1,0,,,"5 tons coal, 70 packages reed pens, cotton, cloth, many hides, skins of oil",,
1866-03-23,Baghdad,1,0,,,70 taghars wheat,,
1866-03-27,Qubba,0,1,,,,letters,
1866-03-27,Memlah,1,0,,,wood,,
1866-03-28,Kut,0,1,,,,1 bale copper,
1866-03-29,Defass,1,1,,,"wood, coal",cargo,
1866-03-29,Maghil,0,1,,,,mail,
1866-03-29,Basra,1,1,,,"85 cases indigo, 430 bags tobacco; 87,000 okkas total",200 packages,
1866-04-04,Maghil,1,0,,,17.5 tons coal,,
1866-04-05,Qurnah,1,0,,,20 tons coal,,
1866-04-06,Defass,0,1,,,,yes,
1866-04-06,Maghesil,0,1,,,,empty bags,
1866-04-07,Kut,1,1,,,5 tons coal ,cargo,
1866-04-09,Baghdad,1,0,,,70 taghars wheat,,
1866-04-17,Memlah,1,0,,,wood,,
1866-04-18,Kut,0,1,,,,7 bales,
1866-04-18,Seyd Abbas,0,1,,,,"2 bales bags, 3 bundles money",
1866-04-19,Defass,1,1,,,wood,cargo,
1866-04-19,Qurnah,0,1,,,,4 packages,
1866-04-19,Maghil,0,1,,,,mail,
1866-04-24,Qurnah,1,0,,,50 hides,,
1866-04-24,Defass,1,0,,,"162 bales wool, glue, hides, sesame, cotton",,
1866-04-25,Shaykh Saad,0,1,,,,"coffee, cloth",
1866-04-25,Kut,1,0,,,coal,,
1866-04-27,Kher River,0,1,,,,dead body,
1866-04-27,Baghdad,1,0,,,56 taghars wheat,,
1866-05-08,Memlah,1,0,,,wood,,
1866-05-09,Kut,0,1,,,,3 bales,
1866-05-09,Maghesil,1,0,,,wood,,
1866-05-10,Defass,0,1,,,,cargo,
1866-05-11,Maghil,1,0,,,"wood, coal",,
1866-05-12,Basra,1,1,,,"100 bags sugar, 9 bags pepper; total 32,720 okkas","268 packages, wheat",
1866-05-18,Defass,1,0,,,"70 bales wool; ghi, hides",,
1866-05-19,Sfezi above Flefleh,1,0,,,"17 bales wool, 5 skins ghi",,
1866-05-19,Maghesil,1,0,,,"wool, ghi",,
1866-05-19,Seyd Abbas,1,0,,,97 bales wool,,
1866-05-19,Kut,1,1,,,1 dubbeh ghi,1 bale wool,
1866-05-20,Qubba,1,0,,,1 ton coal,,
1866-05-21,Baghdad,1,0,,,"30 taghars wheat, 15 dubbehs bitumen",,
1866-05-24,Memlah,1,0,,,wood,,
1866-05-25,Kut,1,1,,,wood,2 packages,
1866-05-25,Seyd Abbas,0,1,,,,bundle of treasure  ,
1866-05-25,Defass,1,1,,,coal,cargo,
1866-05-26,Qurnah,0,1,,,,18 packages,
1866-05-27,Maghil,1,0,,,26 tons coal,,
1866-05-27,Basra,1,1,,,sugar,"wheat, bitumen",
1866-06-03,Sfezi,1,0,,,6 bales wool,,
1866-06-03,Maghesil,1,0,,,2 bales wool,,
1866-06-04,Qubba,1,0,,,3 tons coal,,
1866-06-05,Baghdad,1,0,,,"50 taghars wheat, wood",,
1866-06-17,Memlah,1,0,,,wood,,
1866-06-18,Defass,1,1,,,wood,cargo,
1866-06-19,Basra,1,0,,,"50,000 okkas cargo, wheat",,
1866-06-24,Defass,1,0,,,"hides, wool, cotton, sesame, copper, ghee, 5 tons coal",,
1866-06-25,Shaykh Saad,0,1,,,,1 bale cloth,
1866-06-25,Kut,0,1,,,,letter,
1866-06-26,Messahint fot,1,0,,,gazelle,,
1866-06-26,Qubba,1,0,,,coal,,
1866-06-27,Steh,1,0,,,wood,,
1866-06-27,Baghdad,1,0,,,228 bales wool,,
1866-07-10,Memlah,1,0,,,wood,,
1866-07-11,Kut,0,1,,,,3 bales cloth,
1866-07-11,Ali Sharqi,0,1,,,,7 empty dubbes,
1866-07-12,Defass,1,1,,,wood,cargo,
1866-07-12,Qurnah,0,1,,,,3 packages,
1866-07-12,Neshwa,0,1,,,,19 packages,
1866-07-13,Maghil,1,0,,,20 tons coal,,
1866-07-15,Basra,1,0,,,"166 bales wool, 9 bales gallnuts",,
1866-07-17,Defass,1,0,,,"wool, ghi, hides, tobacco, coffee",,
1866-07-18,Shaykh Saad,0,1,,,,11 packages,
1866-07-20,Ghrarah,1,0,,,mail,,
1866-07-21,Baghdad,1,0,,,"wood, 70 bales wool",,
1866-07-25,Memlah,1,0,,,wood,,
1866-07-26,Kut,0,1,,,,4 packages,
1866-07-27,Defass,1,1,,,wood,cargo,
1866-07-27,Qurnah,0,1,,,,22 packages goods and copper,
1866-07-28,Basra,1,0,,,"700 packages, 50 bags coffee, 200 bags tobacco, 300 bags sugar",,
1866-08-01,Defass,1,0,,,yes,,
1866-08-02,Kut,1,0,,,"wood, cargo",,
1866-08-05,Qubba,1,0,,,wood,,
1866-08-05,Ghrarah,0,1,,,,mail,
1866-08-06,Baghdad,1,0,,,215 bales wool,,
1866-08-22,Bastan,1,0,,,wood,,
1866-08-24,Kut,0,1,,,,4 bales cloth,
1866-08-25,Shaykh Saad,0,1,,,,1 bale,
1866-08-25,Maghesil,1,0,,,wood,,
1866-08-26,Defass,1,1,,,wood,cargo,
1866-08-26,Qurnah,0,1,,,,23 packages,
1866-08-26,Maghil,0,1,,,,mail,
1869-03-24,Kut,0,1,,3,,3,
1869-03-25,Maghesil,0,1,,2,,2,
1869-03-25,Defass,1,1,,8,240 sheep,8,
1869-03-26,Maghil,1,1,,,coal,"sheep, wheat, gallnuts",
1869-03-28,Maghil,1,1,,,60 tons coal,wheat,
1869-03-30,Maghil/Basra,1,1,,,244 bundles bamboo,Baghdad cargo,
1869-04-02,Maghil,1,0,,,mail - Blockey,,
1869-04-02,Qurna,1,0,,,30 hides,,
1869-04-03,Amara,1,1,,23,"hides, 20 bags sugar",23,
1869-04-04,Sheikh Saad,0,1,,,,5 bags coffee,
1869-04-04,Kut,1,1,,,"hides, twist",5; 20 tons coal,
1869-04-06,Baghdad - British Residency,0,1,,,,mails,
1869-04-07,Baghdad,0,1,,,,yes,
1869-04-08,Baghdad,1,0,,,Defass cargo,,
1869-04-10,Baghdad,1,0,,,Lynch's wheat,,
1869-04-12,Baghdad,1,0,,,"956 bags wheat, 100 bags galls, other things",,
1869-04-14,Kut,0,1,,46,,46,
1869-04-15,Sheikh Saad,0,1,,21,,21,
1869-04-15,Maghesil,0,1,,3,,3,
1869-04-15,Ali Sharqi,0,1,,5,,5,
1869-04-15,Defass,0,1,,,,lots,
1869-04-16,Qurna,0,1,,14,,14,
1869-04-16,Maghil,0,1,,,,"mail, coal, cargo",
1869-04-16,Maghil,1,1,,,"coal, cargo",Lynch wheat,
1869-04-18,Maghil/Basra,1,1,,,"iron press, piece goods, ammoniac, alum",Lynch iron press for wool and cotton - heaviest piece 4 tons; other goods Lynch,
1869-04-20,Basra,1,1,,,yes,goods for Yousif Noah at 22 okkas per 8 keran,
1869-04-21,Basra,0,1,,,,"log wood, through goods",
1869-04-22,Defass,1,1,,1,"hides, ghee etc",1,
1869-04-23,Ali Sharqi,0,1,,,,money,
1869-04-24,Kut,0,1,,,,money,
1869-04-25,Baghdad - Residency,0,1,,,,mails,
1869-04-26,Baghdad,0,1,,,,the iron press,
1869-04-30,Baghdad,1,0,,,"75,000 okkas total",,
1869-04-30,Gherara,1,0,,,2 horses,,
1869-04-30,Kut,0,1,,9,,9,
1869-05-01,Sheikh Saad,0,1,,7,,7,
1869-05-01,Amara(?),0,1,,,,yes,
1869-05-02,Qurna,0,1,,,,1 bale,
1869-05-04,Basra,1,1,,,"50 through, Basra cargo",Baghdad cargo,
1869-05-05,Amara,1,1,,31,"hides, 38 bales wool",31,
1869-05-06,Ali Sharqi,1,0,,,116 bales wool,,
1869-05-06,Flefleh,0,1,,,,money,
1869-05-07,Kut,0,1,,19,,19,
1869-05-08,Bostan (near Cteisiphon),1,0,,,2 letters,,
1869-05-09,Baghdad,0,1,,,,mail,
1869-05-10,Baghdad,1,1,,,Defass cargo,yes,
1869-05-13,Kut,0,1,,2,,2,
1869-05-13,Defass,0,1,,,,yes,
1869-05-14,Maghil,0,1,,,,yes,
1869-05-21,Basra,1,0,,,coffee,,
1869-05-23,Basra,1,1,,,"100 bags sugar, 19 pieces spelter","cargo of Kadim Celal - at 25 okkas the keran, if Turks take 30 they will refund him",
1869-05-24,Maghil,1,0,,,"40 tons coal; 17,000 okkas cargo",,
1869-05-25,Defass,1,0,,,"wool, cotton, hides",,
1869-05-26,Flefleh,1,0,,,wool ,,
1869-05-26,Sheikh Saad,1,1,,3,yes,3,
1869-05-27,Kut,0,1,,,,yes,
1869-05-28,Baghdad - Residency,0,1,,,,mails,
1869-06-07,Baghdad,1,0,,,16 taghars millet,,
1869-06-09,Gherara,1,0,,,6 horses,,
1869-06-09,Kut,0,1,,7,,7,
1869-06-10,Sheikh Saad,0,1,,10,,10,
1869-06-10,Flefleh,0,1,,,,15 empty dubbes,
1869-06-10,Hud,0,1,,,,yes,
1869-06-11,Maghil,0,1,,,,Robertson's letters,
1869-06-11,Maghil,1,1,,,coal,horses,
1869-06-12,Basra,0,1,,,,Baghdad cargo,
1869-06-14,Basra,1,0,,,"62 through, 28 from(?) Baghdad",,
1869-06-15,Qurna,1,0,,,81 bales wool,,
1869-06-15,Amara,1,1,,,89 bales wool; hides; other,"22 baskets grapes, 7 bundles drugs",
1869-06-16,Shefeji Creek below Flefleh,1,0,,,11 dubbes ghee,,
1869-06-16,Sheikh Saad,1,1,,8,2 bales wool,8,
1869-06-17,Kut,1,0,,,wool,,
1869-06-18,Baghdad - Residency,0,1,,,,mails,
6/19/1869 Baghdad - Customs House,,0,1,,,,cargo - mostly wool,
1869-06-22,Baghdad,1,0,,,grain,,
1869-06-23,Baghdad,1,0,,,"44 taghars wheat, through cargo for Bombay, local cargo",,
1869-06-24,Gherara,1,0,,,12 horses,,
1869-06-25,Kut,0,1,,4,,4,
1869-06-25,below Flefleh,0,1,,,,17 dubbes empty,
1869-06-26,Amara,0,1,,,,yes,
1869-06-27,Basra,1,1,,,cargo of Yousif Noah,"wheat, cargo",
1869-06-28,Basra,1,0,533,,533,,
1869-06-29,Maghil,1,0,,,40 tons coal,,
1869-06-29,Qurna,1,0,,,"52 bales wool, 2 dubbes ghee, 11 hides",,
1869-06-30,Hud,1,1,,5,78 bales wool; other small,5,
1869-07-01,below Flefleh,1,0,,,6 dubbes ghee,,
1869-07-01,Sheikh Saad,0,1,,3,,3,
1869-07-01,Kut,1,0,,,"89 bales wool, 11 dubbes ghee, 8 bales cow skins",,
1869-07-02,"western bank, near sunken boat, before Gooba",1,0,,,85 bales wool,,
1869-07-08,Baghdad,1,0,,,wheat,,
1869-07-10,Baghdad,1,0,,,"wheat, 200 bales wool",,
1869-07-12,Baghdad,1,0,,,"cargo, grain",,
1869-07-13,Gherara,1,0,,,10 horses,,
1869-07-14,Kut,0,1,,3,,3,
1869-07-14,Rasheed Ali Khan below Seyyid Abbas,0,1,,,,5 bales,
1869-07-15,below Flefleh,0,1,,,,money,
1869-07-15,Hud,0,1,,,,yes,
1869-07-15,Qurna,0,1,,,,1 bale,
1869-07-15,Maghil,0,1,,,,mails,
1869-07-16,Maghil,1,1,,,coal,"horses, wool",
1869-07-17,Basra,0,1,,,,"cargo, wheat",
1869-07-18,Basra,1,0,,,590 iron bars,,
1869-07-20,Basra,1,0,,,"100 bags coffee, 100 bags tobacco, tea etc; 72 baskets dates",,
1869-07-22,Amara,1,1,,,"11,076 okkas, wool and other","bales of bags, fruit",
1869-07-23,below Flefleh,1,0,,,5 dubbes ghee,,
1869-07-23,Sheikh Saad,0,1,,26,,26,
1869-07-23,Kut,1,1,,7,"32,000 okkas/276 bales wool",7,
1869-07-24,opposite Nemlah,0,1,,,,72 baskets dates,
1869-07-25,Baghdad - Residency,0,1,,,,mails,
1869-07-26,Baghdad,0,1,,,,"cargo, wool",
1869-07-27,Baghdad,0,1,,,,cargo ,
1869-07-29,Baghdad,1,0,,,"grain, bags",,
1869-07-31,Baghdad,1,0,,,grain,,
1869-08-02,Baghdad,1,0,,,600 bags grain,,
1869-08-03,Baghdad,1,0,,,"53 dubbes ghee, 99 bales arsonic, 80 packages other",,
1869-08-04,Gherara,1,0,,,6 horses,,
1869-08-06,Kut,0,1,,,,10 packages; poles and reeds,
1869-08-07,Defass,0,1,,,,yes,
1869-08-07,Qurna,0,1,,,,bundle cloth,
1869-08-07,Maghil,1,1,,,coal,"6 horses, Blockey's kit",
1869-08-09,basra,1,1,,,"368 packages Bombay cargo; Basra cargo: 46 bags coffee, 13 bales pepper, 12 bags sugar, 14 bales piece goods",825 packages through cargo,
1869-08-11,Basra,1,0,,,"Bombay cargo, Basra cargo",,
1869-08-11,Hud,1,1,,5,"cotton, hides, ghee, rice",5,
1869-08-12,above Ali Sharqi,0,1,,,,money,
1869-08-12,Sheikh Saad,0,1,,,,1 bale,
1869-08-12,Kut,1,1,,,"60 bales wool, hides, ghee",20 bales empty bags and cloth,
1869-08-15,Baghdad,1,1,,,money,cargo,
1869-08-16,Baghdad,0,1,,,,cargo,
1869-08-17,Baghdad,1,0,,,"cargo; 281 bags wheat, wool, ghee",,
1869-08-18,Gherara,1,0,,,32 horses,,
1869-08-21,Kut,0,1,,24,,24,
1869-08-22,Defass,1,1,,,2 tons coal,cargo,
1869-08-22,Qurna,0,1,,,,26 bales cargo,
1869-08-23,Maghil,0,1,,,,horses,
1869-08-24,Basra,1,1,,,"455 through; 36 bags pepper, 30 bales tamarine, 5 bags guiges from Ahmed of Ghulam Husayn","455 through packages ""heavy""",
1869-08-25,Maghil,1,0,,,38.5 tons coal,,
1869-08-26,Hud,1,0,,,1 bale,,
1869-08-27,Kut,1,0,,,3 bags tobacco,,
1869-08-29,Baghdad - Residency,0,1,,,,mails,
1869-08-31,Baghdad,0,1,,,,cargo,
1869-09-03,Baghdad,1,0,,,"162 bags wheat, gallnuts",,
1869-09-04,Baghdad,1,0,,,"434 bags wheat, 52 bags galls",,
1869-09-08,Baghdad,1,0,,,50 bales wool,,
1869-09-09,Baghdad,1,0,,,yes,,
1869-09-10,Baghdad,1,1,,,"25 bales wool, 22 bales tobacco, other cargo",wool of Stefan Andrea,
1869-09-11,Baghdad,1,0,,,120 bags wheat,,
1869-09-11,Gherara,1,1,,,35 horses,horses of Sassan (Sassoon?) Zobeida,
1869-09-14,Goobba,1,0,,,coal,,
1869-09-14,Shedeif,0,1,,,,wheat,
1869-09-15,Shedeif,0,1,,,,wheat,
1869-09-16,Shedeif,0,1,,,,wheat,
1869-09-17,Shedeif,0,1,,,,cargo,
1869-09-18,Sunken Boat,1,0,,,wood,,
1869-09-19,Kut,1,1,,,5 tons coal,yes,
1869-09-20,Hud,1,1,,,4 tons coal,yes,
1869-09-21,Qurna,0,1,,45,,45,
1869-09-22,Maghil,1,1,,,coal,"horses, wool, galls",
1869-09-23,Basra,0,1,,,,"Basra cargo, wheat",
1869-09-25,Basra,1,1,,,"170 baskets henna, 54 bags sugar","henna - 150 of Qasim Ali, 20 of Abdulkerim; sugar - 24 bags of Muhammad Husayn, 30 bags of Abdulkerim",
1869-09-26,Qurna,1,1,,,hides,"cerdeas of grog, packages",
1869-09-27,Hud,1,1,,,4 skins ghee,yes,
1869-09-28,Sheikh Saad,0,1,,,,2 bales,
1869-09-28,Kut,1,1,,,"twist, hides, ool",yes,
1869-09-29,Goobba,0,1,,,,1 bag rice,
1869-09-30,Zumbaranieh,0,1,,,,"henna, sugar",
1869-10-01,Baghdad - Residency,0,1,,,,mails,
1869-10-11,Baghdad,1,0,,, cargo,,
1869-10-12,Gherara,1,0,,,4 horses,,
1869-10-12,Seleucia,1,0,,,35 horses ,,
1869-10-13,Goobba,1,0,,,3 tons coal,,
1869-10-14,Kut,1,1,,,3 tons coal,34 bales,
1869-10-16,Hud,1,1,,,4 tons coal,yes,
1869-10-16,Qurna,0,1,,6,,6,
1869-10-17,Maghil,1,1,,,"coal, cargo",horses,
1869-10-19,Basra,1,1,,4,"95 - mostly bales of cloth, heavy",4,
1869-10-19,Maghil,1,0,,,yes,,
1869-10-20,Hud/Defass,1,1,,14,"hides, ghee, bags of sesame",14,
1869-10-21,Sheikh Saad,0,1,,8,,8,
1869-10-21,Kut,1,1,,23,"16 skins ghee, 14 bales wool etc",23,
1869-10-25,Baghdad,1,1,,,"wool, horses",Defass and Lynch cargo,
1869-10-26,Gherara,1,0,,,45 horses,,
1869-10-28,Kut,1,0,,,coal,,
1869-10-29,Sheikh Saad,1,1,2,4,2,4,
1869-10-29,Hud/Defass,1,0,,,"coal, cargo",,
1869-10-30,Qurna,0,1,,,,telegraph dispatches,
1869-10-31,Maghil,1,1,,,coal,wool,
1869-11-02,Basra,1,0,,,"bales of cloth, cases of sugar; other; through cargo",,
1869-11-03,Qurna,1,0,,,telegraphic despatches,,
1869-11-03,Hud,0,1,,,,13 bales cloth,
1869-11-04,Kut,0,1,,,,3 bales,
1869-11-07,Baghdad - Residency,0,1,,,,mails,
1869-11-07,Baghdad - Customs House,0,1,,,,yes,
1869-11-08,Baghdad,1,1,,,"through cargo, 250 bales wool, other cargo",Lynch cargo,
1869-11-10,Gherara,0,1,,,,34 horses,
1869-11-11,Kut,0,1,,30,,30,
1869-11-12,Sheikh Saad,0,1,,,,yes,
1869-11-12,Hud,1,1,,80,coal,80,
1869-11-13,Qurna,0,1,,26,,26,
1869-11-15,Basra,1,0,,,"Lynch cargo, Basra cargo",,
1869-11-16,Basra,0,1,,,,271 packages,
1869-11-16,Maghil,0,1,,,,1 bale wool,
1869-11-17,Hud,1,1,,12,"coal; 17,000 shamies of Mr Lynch",12,
1869-11-19,Kut,1,1,,,coal,2 bales,
1869-11-21,Baghdad,0,1,,,,"mails, cargo",
1869-11-22,Baghdad,0,1,,,,yes,
1869-11-24,Baghdad,1,0,,,"260 bales wool, other cargo",,
1869-11-25,Gherara,1,0,,,44 horses,,
1869-11-27,Kut,0,1,,30,,30,
1869-11-28,Hud,1,1,,,3 tons coal,yes,
1869-11-29,Azair,1,0,,,horse,,
1869-11-29,Qurna,0,1,,39,,39,
1869-11-30,Basra,1,1,,,"cargo, coal","horses, 260 bales wool",
1869-12-01,Basra,1,1,30,110,30,110,
1869-12-02,Maghil,1,0,,,letters,,
1869-12-02,Qurna,1,0,,,telegraph despatches,,
1869-12-03,Hud,1,0,,,"19,000 shamies; little cargo",,
1869-12-04,Sheikh Saad,0,1,,4,,4,
1869-12-04,Kut,1,0,,,"ghee, twist, other",,
1869-12-06,Baghdad,0,1,,,,yes,
1869-12-07,Baghdad,0,1,,,,cargo,
1869-12-08,Baghdad,1,0,,,lots,,
1869-12-09,Baghdad,1,0,,,"letter for Milne - from ""Euphrates""",,
1869-12-09,Safi,0,1,,,,packet for Col. Herbert,
1869-12-10,Kut,1,1,,,coal,yes,
1869-12-11,Hud,1,1,,,coal,lots cargo,
1869-12-12,Qurna,0,1,,10,,10,
1869-12-12,Maghil,0,1,,,,mail,
