date,city,pass-on y/n,pass-off y/n,pass-on #,trip total passengers,pass-off #,notes
1865-11-04,Ghrarah,1,0,1,,,
1865-11-06,Baghdad,1,0,183,,,
1865-11-11,Kut,0,1,,,5,
1865-11-13,Defass,0,1,,,14,
1865-11-14,Qurnah,0,1,,,2,
1865-11-15,Basra,1,0,29,,,
1865-11-18,Maghil,0,1,,,3,
1865-11-18,Qurnah,0,1,,,1,
1865-11-19,Defass,0,0,,,,
1865-11-21,Kut,0,0,,,,
1865-11-23,Baghdad,1,0,27,,,
1865-12-01,Kut,0,1,,,2,
1865-12-02,Defass,0,1,,,6,
1865-12-03,Qurnah,0,1,,,1,
1865-12-04,Basra,1,0,21,,,
1865-12-07,Maghil,0,1,,,2,
1865-12-08,Qurnah,0,1,,,1,
1865-12-08,Azair,0,1,,,1,
1865-12-08,Defass,0,0,,,,
1865-12-09,Shaykh Saad,0,1,,,1,
1865-12-12,Baghdad,1,0,40,,,
1865-12-22,Ali Sharqi ,0,1,,,1,
1865-12-22,Defass,0,1,,,5,
1865-12-24,Basra,1,0,20,,,
1865-12-31,Baghdad,1,0,75,,,
1866-01-07,Ghrarah,0,1,,,3,
1866-01-08,Step = Bastan,0,1,,,2,
1866-01-10,Kut,0,1,,,1,
1866-01-12,Qurnah,0,1,,,5,
1866-01-19,Defass,1,1,22,,6,
1866-01-20,Shaykh Saad,0,1,,,2,
1866-01-22,Baghdad,1,0,93,,,
1866-01-31,Kut,0,1,,,5,
1866-02-01,Shaykh Saad,0,1,,,1,
1866-02-01,Flefleh,0,1,,,1,
1866-02-02,Defass,0,1,,,7.5,
1866-02-02,Qurnah,0,1,,,9,
1866-02-03,Basra,1,0,73,,,
1866-02-06,Maghil,1,0,1,,,
1866-02-08,Qurnah,1,0,2,,,
1866-02-09,Defass,0,1,,,4,
1866-02-10,Shaykh Saad,0,1,,,2,
1866-02-14,Baghdad,1,0,14,,,
1866-02-20,Qubba,0,1,,,2,
1866-02-21,Kut,0,1,,,3,
1866-02-22,Defass,0,1,,,1,
1866-02-23,Maghil,0,1,,,1,
1866-02-26,Qurnah,0,1,,,2,
1866-02-26,Defass,0,0,,,,
1866-02-28,Kut,0,1,,,1,
1866-03-01,Baghdad,1,0,117,,,
1866-03-16,Basra,1,0,57.5,,,
1866-03-20,Azair,1,0,2,,,
1866-03-20,Defass,0,0,,,,
1866-03-23,Baghdad,1,0,80,,,
1866-03-28,Kut,0,1,,,1,
1866-03-28,Seyd Abbas,0,1,,,2,
1866-03-28,Maghesil,0,1,,,3,
1866-03-28,Ali Sharqi ,0,1,,,3,
1866-03-29,Qurnah,0,1,,,2,
1866-03-29,Maghil,0,1,,,1,
1866-03-29,Basra,1,0,81,,,
1866-04-05,Qurnah,1,1,1,,1,
1866-04-05,Abu Sedra,0,1,,,1,
1866-04-06,Defass,0,1,,,12,
1866-04-06,Shaykh Saad,0,1,,,1,
1866-04-09,Baghdad,1,0,197.5,,,
1866-04-17,Ctesiphon,0,1,,,3,
1866-04-18,Kut,0,1,,,12,
1866-04-18,Maghesil,0,1,,,1,
1866-04-19,Azair,0,1,,,114,
1866-04-19,Qurnah,0,1,,,4,
1866-04-19,Basra,1,0,80,,,
1866-04-23,Maghil,1,0,30,,,
1866-04-24,Qurnah,1,0,30,,,
1866-04-24,Azair,1,0,114,,,
1866-04-24,Defass,1,0,2,,,
1866-04-27,Ghrarah,0,1,,,1,
1866-04-27,Baghdad,1,0,190,,,
1866-05-09,Kut,0,1,,,4,
1866-05-09,Seyd Abbas,0,1,,,1,
1866-05-10,Defass,0,1,,,7,
1866-05-10,Azair,0,1,,,135,
1866-05-11,Qurnah,0,1,,,2,
1866-05-12,Basra,0,1,,,51,
1866-05-17,Qurnah,0,1,,,2,
1866-05-17,Azair,1,0,95,,,
1866-05-18,Defass,1,0,58.5,,,
1866-05-19,Sfezi above Flefleh,0,1,,,1,
1866-05-19,Kut,0,1,,,3,
1866-05-21,Baghdad,1,0,29,,,
1866-05-25,Defass,0,1,,,4,
1866-05-26,Azair,1,0,6.5,,,
1866-05-26,Qurnah,0,1,,,3,
1866-05-27,Basra,1,0,80,,,
1866-06-02,Azair,0,0,,,,
1866-06-02,Defass,1,0,19,,,
1866-06-03,Sfezi,1,0,1,,,
1866-06-03,Maghesil,1,0,5,,,
1866-06-03,Kut,1,0,15,,,
1866-06-05,Baghdad,1,0,126,,,
1866-06-17,Qubba,0,1,,,1,
1866-06-18,Kut,0,1,,,3,
1866-06-18,Sfezi,0,1,,,1,
1866-06-19,Qurnah,0,1,,,2,
1866-06-19,Basra,1,0,105,,,
1866-06-22,Maghil,0,1,,,1,
1866-06-23,Qurnah,0,1,,,3,
1866-06-25,Shaykh Saad,0,1,,,3,
1866-06-25,Kut,1,0,4,,,
1866-06-27,Baghdad,1,0,104,,,
1866-07-10,Qubba,0,1,,,6,
1866-07-11,Kut,0,1,,,2,
1866-07-11,Shaykh Saad,0,1,,,1,
1866-07-11,Ali Gharbi (?),0,1,,,2,
1866-07-11,Ali Sharqi,0,1,,,3,
1866-07-12,Abu Sedra,0,1,,,1,
1866-07-12,Azair,0,1,,,8.5,
1866-07-12,Qurnah,0,1,,,1,
1866-07-12,Neshwa,0,1,,,4,
1866-07-15,Basra,1,0,60,,,
1866-07-17,Qurnah,0,1,,,1,
1866-07-17,Azair,0,1,,,3,
1866-07-18,Sfezi,1,0,2,,,
1866-07-18,Kalat Shaykh Saad,0,1,,,1,
1866-07-18,Shaykh Saad,0,1,,,1,
1866-07-18,Kut,1,1,4.5,,1,
1866-07-21,Baghdad,1,0,80,,,
1866-07-25,Qubba,0,1,,,1,
1866-07-27,Qurnah,0,1,,,5,
1866-07-28,Basra,1,0,24,,,
1866-08-01,Defass,1,0,13,,,
1866-08-02,Shaykh Saad,0,1,,,1,
1866-08-02,Kut,0,0,,,,
1866-08-06,Baghdad,1,0,130,,,
1866-08-22,Um el Hanna channel,0,1,,,1,
1866-08-22,Qubba,0,1,,,4,
1866-08-24,Kut,0,1,,,5,
1866-08-26,Kalat Shaykh Saad,0,1,,,1,
1866-08-26,Azair,0,1,,,1,
1866-08-26,Qurnah,0,1,,,10,
1869-03-24,Baghdad,1,0,20,,,
1869-03-24,Gherara,1,0,1,,,
1869-03-24,Kut,0,1,,,3,
1869-03-25,Sheikh Saad,0,1,,,1,
1869-03-25,Defass,0,1,,,7,
1869-03-26,Basra,0,0,,,,
1869-04-02,Maghil,0,1,,,1,
1869-04-03,Abdullah ibn Ali,0,1,,,1,
1869-04-03,Sheikh Salah,0,1,,,1,
1869-04-03,Amara,1,1,few,,13.5,
1869-04-04,Maghesil,0,1,,,1,
1869-04-04,Sheikh Saad,0,1,,,1,
1869-04-04,Kut,1,1,11,,3,
1869-04-06,Baghdad - Customs House,0,1,,,all,
1869-04-14,Baghdad,1,0,251,,,
1869-04-14,Gherara,0,1,,,3,
1869-04-14,Kut,0,1,,,30,
1869-04-15,Maghesil,0,1,,,1,
1869-04-15,Ali Sharqi,0,1,,,3,
1869-04-15,Defass,0,1,,,3,
1869-04-16,Azair,0,1,,,96.5,
1869-04-16,Qurna,0,1,,,3,
1869-04-16,Basra,0,1,,,all,
1869-04-22,Maghil,1,0,111.5,,,
1869-04-22,Qurna,0,1,,,3,
1869-04-22,Azair,1,1,45,,42.5,
1869-04-22,Defass,1,1,36,,7,
1869-04-23,Ali Sharqi,0,1,,,2,
1869-04-23,Flefleh,0,1,,,2,
1869-04-23,Ali Gharbi,0,1,,,4,
1869-04-24,Kut,0,1,,,1,
1869-04-25,Baghdad - Customs House,0,1,,,all,
1869-04-30,Baghdad,1,0,502.5,,,
1869-04-30,Kut,0,1,,,7,
1869-05-01,Sheikh Saad,0,1,,,3,
1869-05-01,Amara(?),0,1,,,27,
1869-05-02,the Hud,1,0,14,,,
1869-05-02,Azair,0,1,,,400,
1869-05-02,Qurna,0,1,,,2,
1869-05-02,Maghil,1,1,1,,3,
1869-05-04,Basra,1,0,50,,,
1869-05-05,Azair,1,1,yes,,15,
1869-05-05,none,1,0,3,,,
1869-05-05,Amara,0,1,,,14,
1869-05-06,Flefleh,0,1,,,2,
1869-05-06,Sheikh Saad,0,1,,,2,
1869-05-07,Kut,0,1,,,9,
1869-05-08,Bostan (near Cteisiphon),1,1,17,,17,
1869-05-09,Baghdad,0,1,,,all,
1869-05-12,Baghdad,1,0,184.5,,,
1869-05-13,Kut,0,1,,,2,
1869-05-13,Defass,0,1,,,14,
1869-05-14,Azair,0,1,,,42.5,
1869-05-14,Qurna,0,1,,,2,
1869-05-14,Basra,0,1,,,all,
1869-05-24,Maghil,1,0,27,,,
1869-05-24,Qurna,0,1,,,2,
1869-05-25,Azair,1,0,308,,,
1869-05-25,Defass,1,1,many,,1,
1869-05-26,Sheikh Saad,1,1,yes,,1,
1869-05-27,Kut,0,1,,,3,
1869-05-27,Goobba,1,0,1,,,
1869-05-28,Baghdad - Customs House,0,1,,,yes,
1869-06-09,Baghdad,1,0,68,,,
1869-06-09,Aziziyeh,0,1,,,5,
1869-06-09,Nur al Boomi,0,1,,,1,
1869-06-09,Kut,0,1,,,8,
1869-06-10,Sheikh Saad,0,1,,,2,
1869-06-10,Flefleh,0,1,,,2,
1869-06-10,Hud,0,1,,,5,
1869-06-11,Qurna,0,1,,,1,
1869-06-11,Basra,0,1,,,all,
1869-06-14,Maghil,1,1,151,,1,
1869-06-15,Qurna,1,1,yes,,2,
1869-06-15,Azair,1,0,3.5,,,
1869-06-15,Amara,0,1,,,19,
1869-06-16,Sheikh Saad,0,1,,,4,
1869-06-17,Kut,1,0,6,,,
1869-06-18,Bostani Kesra,1,1,100,,100,
1869-06-19,Baghdad,0,1,,,all,
1869-06-24,Baghdad,1,0,61,,,
1869-06-25,Kut,0,1,,,7.5,
1869-06-25,below Flefleh,0,1,,,2,
1869-06-26,Basra,0,1,,,all,
1869-06-29,Maghil,1,0,91.5,,,
1869-06-29,Qurna,0,1,,,1,
1869-06-30,Hud,0,1,,,4,
1869-07-01,Sheikh Saad,0,1,,,3,
1869-07-01,Kut,1,1,13,,3,
1869-07-03,Baghdad,0,1,,,all,
1869-07-13,Baghdad,1,0,56,,,
1869-07-14,Kut,0,1,,,11,
1869-07-14,Rasheed Ali Khan below Seyyid Abbas,0,1,,,1,
1869-07-15,Hud,0,1,,,10,
1869-07-15,Qurna,0,1,,,5,
1869-07-21,Basra,1,0,62,,,
1869-07-21,Maghil,0,1,,,1,
1869-07-22,Qurna,1,0,2,,,
1869-07-22,Amara,1,1,17.5,,5.5,
1869-07-23,Sheikh Saad,0,1,,,3,
1869-07-23,Kut,1,1,14,,2,
1869-07-25,Baghdad - Customs House,0,1,,,all,
1869-08-04,Baghdad,1,0,76.5,,,
1869-08-04,Gherara,0,1,,,4,
1869-08-06,Kut,0,1,,,8,
1869-08-07,Defass,0,1,,,9,
1869-08-07,Qurna,0,1,,,2,
1869-08-07,Maghil,0,1,,,yes,
1869-08-11,Basra,1,0,56.5,,,
1869-08-11,Azair,0,1,,,1,
1869-08-11,Hud/Defass,1,1,50,,14,
1869-08-12,Sheikh Saad,0,1,,,4,
1869-08-12,Kut,1,1,49.5,,7,
1869-08-13,Goobba Fort,0,1,,,2,
1869-08-18,Baghdad,1,0,60,,,
1869-08-21,Kut,0,1,,,10,
1869-08-22,Defass,1,1,17,,10,
1869-08-22,Qurna,0,1,,,20.5,
1869-08-23,Basra,0,1,,,all,
1869-08-26,Hud,1,0,16,,,
1869-08-27,Maghesil,0,1,,,1,
1869-08-27,Sheikh Saad,0,1,,,3,
1869-08-27,Kut,1,0,16,,,
1869-08-29,Baghdad - Customs House,0,1,,,all,
1869-09-11,Baghdad,1,0,63,,,
1869-09-17,Shedeif,0,1,,,some,
1869-09-20,Hud,0,1,,,5,
1869-09-21,Qurna,0,1,,,2,
1869-09-22,Basra,0,1,,,yes,
1869-09-26,Basra,1,0,107,,,
1869-09-27,Hud,0,1,,,21,
1869-09-28,Flefleh,0,1,,,1,
1869-09-28,Sheikh Saad,1,1,3,,3,
1869-09-28,Kut,1,1,23.5,,7,
1869-09-30,Zumbaranieh,0,1,,,all,
1869-10-01,Gherara,1,1,1,,1,
1869-10-01,Baghdad - Customs House,0,1,,,all,
1869-10-12,Baghdad,1,0,159,,,
1869-10-14,Shedeif,0,1,,,all,
1869-10-14,Kut,0,1,,,20.5,
1869-10-15,Sheikh Saad,0,1,,,2,
1869-10-16,Hud,0,1,,,20,
1869-10-16,Azair,0,1,,,5,
1869-10-16,Qurna,0,1,,,2,
1869-10-17,Basra,0,1,,,all,
1869-10-17,Maghil,0,1,,,all,
1869-10-20,Qurna,0,1,,,4,
1869-10-20,Azair,1,0,5,,,
1869-10-20,Kalat Salih,0,1,,,1,
1869-10-20,Hud/Defass,1,1,47,,12,
1869-10-21,no location,1,0,3,,,
1869-10-21,Sheikh Saad,1,1,10,,1,
1869-10-21,Kut,0,1,,,5,
1869-10-22,Goobba,1,0,3,,,
1869-10-23,Gherara (Nawab's Garden),1,1,1,,1,
1869-10-23,Baghdad,0,1,,,all,
1869-10-26,Gherara,1,0,110,,,
1869-10-28,Kut,0,1,,,28.5,
1869-10-29,Hud/Defass,0,1,,,11.5,
1869-10-30,Azair,0,1,,,1,
1869-10-30,Maghil,0,1,,,1,
1869-10-31,Basra,0,1,,,all,
1869-11-02,Maghil,1,1,1,,3,
1869-11-03,Qurna,1,0,yes,,,
1869-11-03,Hud,1,1,58.5,,10,
1869-11-04,Maghesil,1,0,yes,,,
1869-11-04,Kut,1,1,22,,3,
1869-11-05,Goobba,1,0,1,,,
1869-11-06,Bostan,0,1,,,7,
1869-11-07,Baghdad - Customs House,0,1,,,all,
1869-11-10,Baghdad,1,0,143.5,,,
1869-11-11,Kut,0,1,,,19,
1869-11-12,Sheikh Saad,0,1,,,8,
1869-11-12,Hud,0,1,,,17,
1869-11-13,Azair,0,1,,,6,
1869-11-14,Basra,0,1,,,all,
1869-11-16,Basra,1,0,155,,,
1869-11-17,Qurna,0,1,,,yes,
1869-11-17,Hud,1,1,16,,7,
1869-11-19,Kut,0,1,,,6,
1869-11-20,Bostan,0,1,,,3,
1869-11-20,Arch of Ctesiphon,1,0,3,,,
1869-11-21,Baghdad,0,1,,,all,
1869-11-25,Baghdad,1,0,123.5,,,
1869-11-26,Aziziyeh,0,1,,,4,
1869-11-27,Kut,0,1,,,12,
1869-11-27,Maghesil,0,1,,,1,
1869-11-28,Hud,0,1,,,12,
1869-11-29,Qurna,0,1,,,2,
1869-12-02,Basra,1,0,195.5,,,
1869-12-02,Qurna,1,1,4,,3,
1869-12-03,Hud,1,1,14,,8.5,
1869-12-04,Sheikh Saad,0,1,,,1,
1869-12-04,Kut,0,1,,,4,
1869-12-06,Baghdad,0,1,,,all,
1869-12-09,Baghdad,1,0,34.5,,,
1869-12-10,Kut,0,1,,,7.5,
1869-12-11,Hud,0,1,,,4,
1869-12-12,Qurna,0,1,,,2,
1869-12-12,Maghil,0,1,,,1,
1869-12-16,Basra,1,0,120.5,,,
1869-12-16,Qurna,1,0,1,,,
1869-12-17,Hud/Defass,1,1,8,,7,
1869-12-18,Sheikh Saad,0,1,,,2,
1869-12-18,Kut,0,1,,,3,
1869-12-20,Baghdad,0,1,,,all,
1869-12-24,Baghdad,1,0,40,,,
1869-12-25,Goobba,0,1,,,yes,
1869-12-25,Kut,0,1,,,5.5,
1869-12-26,Hud,0,1,,,5,
1869-12-27,Basra,0,1,,,all,
1869-12-31,Basra,1,0,28,,,
1869-12-31,Qurna,1,1,2,,3,
1870-01-01,Hud,0,1,,,4,
1870-01-02,Sheikh Saad,0,1,,,2,
1870-01-02,Kut,0,1,,,2,
1870-01-03,Goobba,1,0,1,,,
1870-01-04,Baghdad - customs house,0,1,,,all,
1870-01-21,Baghdad,1,0,187,,,
1870-01-23,Kut,0,1,,,6,
1870-01-24,Sheikh Saad,0,1,,,3,
1870-01-25,Hud,0,1,,,7,
1870-01-26,Qurna,1,1,2,,4,
1870-01-29,Basra,1,0,71,,,
1870-01-30,Hud,0,1,,,1,
1870-02-01,Kut,0,1,,,3,
1870-02-03,Baghdad,0,1,,,all,
1870-02-06,Baghdad,1,0,122.5,,,
1870-02-07,Kut,0,1,,,11,
1870-02-08,Amara,0,1,,,5,
1870-02-09,Azair,0,1,,,3,
1870-02-14,Basra,1,0,60,,,through from Bushire
1870-02-15,Basra,1,0,15.5,,,from Basra - engaged by Blockey
1870-02-16,Basra,1,0,142.5,,,
1870-02-17,Azair,1,0,3,,,
1870-02-17,below Abu Sedra,0,1,,,1,
1870-02-17,Amara,1,1,12,,9,
1870-02-18,Maghesil fort,0,1,,,2,
1870-02-18,Sheikh Saad,1,1,14,,1,
1870-02-18,Kut,1,0,38.5,,,Mezyed ibn Shaykh Nasir + followers; Ma'awon of Suq al-Shuyukh - Mezyed in cabin
1870-02-19,Azizieh,0,1,,,5.5,Rashid Bey and his people
1870-02-20,Baghdad - Customs house,0,1,,,all,
1870-02-25,Baghdad,1,0,few,,,
1870-02-26,Baghdad,1,0,24.5,,,15 Jews for Azair
1870-02-27,Kut,0,1,,,2,
1870-02-28,below Flefleh,0,1,,,5,
1870-02-28,Amara,0,1,,,6.5,
1870-03-01,Azair,0,1,,,15,Jewish women
1870-03-01,Qurna,0,1,,,2,
1870-03-05,Basra,1,0,174,,,4 in 2C; Fattallah Khayat in 1C cabin
1870-03-05,Qurna,0,1,,,1,
1870-03-05,Azair,0,1,,,1,
1870-03-05,Hud/Defass,1,1,23.5,,9,
1870-03-06,Sheikh Saad,1,1,9,,5,
1870-03-07,Kut,0,1,,,4,
1870-03-09,Baghdad - Customs house,0,1,,,all,
1870-03-17,Baghdad,1,0,40,,,wife of Murad Efendi of Amara in 1C
1870-03-18,Kut,0,1,,,7,176 bags millet
1870-03-19,Amara,0,1,,,15,
1870-03-19,Azair,0,1,,,2,Jews
1870-03-19,Maghil,0,0,,,,he and Yousif Marine get off
1870-03-23,Basra,1,0,248.5,,,"Messud Bey; almost all Persians; 2 in 1C, 6 in 2C"
1870-03-23,Qurna,1,1,5,,1,
1870-03-24,Azair,1,0,17,,,16 are Jewish women
1870-03-24,Amara,1,1,12,,15,
1870-03-26,Kut,1,1,10,,3,
1870-03-27,Baghdad - Customs house,0,1,,,all,
1870-04-01,Baghdad,1,0,45.5,,,T. Blockey
1870-04-02,Kut,0,1,,,6.5,
1870-04-02,Sheikh Saad,0,1,,,5,
1870-04-02,Amara,0,1,,,7,
1870-04-03,Maghil,0,1,,,1,Blockey
1870-04-03,Basra,0,1,,,all,
1870-04-06,Basra,1,0,170,,,"passengers from ""Cormorin"""
1870-04-07,Azair,0,1,,,5.5,
1870-04-07,Amara,1,1,17,,1,
1870-04-09,Kut,0,1,,,1,
1870-04-11,Baghdad - Residency,0,1,,,1,Blockey
1870-04-11,Baghdad - Customs house,0,1,,,all,
1870-04-15,Baghdad,1,0,60,,,
1870-04-16,Kut,0,1,,,7,
1870-04-17,Sheikh Saad,0,1,,,4,
1870-04-17,Amara,0,1,,,9,
1870-04-17,Qurna,0,1,,,13,
1870-04-18,Basra,0,0,,,,
1870-04-21,Basra,1,0,110,,,mostly Persians 
1870-04-21,Maghil,0,1,,,2,"Capt Pashly, Yousif Marine"
1870-04-22,Azair,1,0,yes,,,
1870-04-22,Amara,1,1,29.5,,5,
1870-04-23,Flefleh,0,1,,,1,
1870-04-23,Kut,0,1,,,3,
1870-04-25,Baghdad - Customs house,0,1,,,yes,
1870-05-09,Gherara,1,0,176,,,mostly Persians; Capt Powell and Dr Hay going to shoot a Lion on Dower reach below Ledj
1870-05-09,Dower reach,0,1,,,2,"Capt Powell, Dr Hay"
1870-05-09,Azizieh,0,1,,,1,
1870-05-09,Kut,0,1,,,4,
1870-05-10,Sheikh Saad,0,1,,,1,
1870-05-10,Maghesil,0,1,,,1,Haji Khatab
1870-05-10,Amara,0,1,,,17,
1870-05-11,Qurna,0,1,,,12,
1870-05-11,Basra,0,1,,,all,
1870-05-14,Basra,1,0,95,,,"incl 20 who left ""Mosul"" bc too full"
1870-05-15,Amara,1,0,some,,,Gharirah wife of Shaykh Shajah
1870-05-16,Flefleh,0,1,,,3,
1870-05-16,Maghesil,0,1,,,1,
1870-05-16,Sheikh Saad,0,1,,,1,
1870-05-16,Kut,1,1,8,,2,"passengers on incl sons of Shaykh Mansur, eldest Abdullah, youngest Sa'dun 13yo"
1870-05-17,,0,0,,144.5,,
1870-05-18,Baghdad - Customs house,0,0,,,,
1870-05-27,Bahgdad,1,0,221,,,"Henry, Yousif; Razkallah Kabaley in 1C; mostly Persians "
1870-05-27,Goobba,0,1,,,2,
1870-05-28,Kut,0,1,,,14,
1870-05-28,Sheikh Saad,0,1,,,5,
1870-05-28,Amara,0,1,,,7,
1870-05-29,Azair,0,1,,,20,
1870-05-29,??,0,1,,,1,
1870-05-29,Basra,0,1,,,all,
1870-06-01,Basra,1,0,125.5,,,"mostly Indians and Persians; Indian Begum hired 4 cabins w 4 women in 1C, 26 followers deck"
1870-06-01,Maghil,0,1,,,1,Robertson
1870-06-02,Qurna,1,0,5,,,
1870-06-02,Azair,1,1,yes,,9,pass on Jewish women incl daughter of Selman Daniel and her family - took 1C cabin
1870-06-02,Amara/Defass,1,1,32,,7,
1870-06-03,Sheikh Saad,0,1,,,3,
1870-06-03,Kut,0,1,,,1,
1870-06-05,Baghdad - Customs house,0,1,,,all,
1870-06-09,Baghdad,1,0,210,,,mostly Persians
1870-06-09,Gherara,0,1,,,7,"Blockey, Carolina, Emilia, Alice, Capt Powell, Mary, Jenny"
1870-06-09,Ctesiphon,0,1,,,3,people who could not pay their passage
1870-06-09,Kut,0,1,,,5,
1870-06-10,Sheikh Saad,0,1,,,1,
1870-06-10,Amara,1,1,yes,,23,on Gherirer wife of Shejah w family
1870-06-10,Abu Sidra,0,1,,,yes,"Shejah's family - mother, brother, wife, etc"
1870-06-11,Azair,1,1,3,,1.5,passengers off Jewish women
1870-06-11,Qurna,0,1,,,1,
1870-06-11,Basra,0,1,,,all,
1870-06-14,Basra,1,0,244,,,"incl 16 in aft cabins, and 3 in 2C cabins; 144.5 given at Basra; Nawab let 6 aft cabins w saloon and all aft for 128 (people?) and 55 more deck at 8ks each"
1870-06-14,Qurna,1,0,3,,,
1870-06-14,Azair,1,0,49.5,,,
1870-06-15,Amara,1,1,38,,20.5,
1870-06-16,Ali Sharqi,0,1,,,1,
1870-06-16,Sheikh Saad,1,1,3,,9,
1870-06-16,Kut,1,1,16.5,,12,
1870-06-18,Gherara,0,1,,,1,deckman w letter to Blockey from Holland
1870-06-18,Baghdad - Customs house,0,1,,,all,
1870-06-23,Baghdad,1,0,204,,,T Blockey
1870-06-23,Azizieh,0,1,,,6,
1870-06-24,Kut,0,1,,,17,
1870-06-24,Sheikh Saad,0,1,,,7,
1870-06-24,Maghesil,0,1,,,1,
1870-06-25,Amara,0,1,,,22,
1870-06-26,Basra,0,1,,,all,
1870-06-29,Basra,1,0,171.5,,,
1870-06-30,Qurna,1,1,4,,9,off Ali Bey the kaymakam + others
1870-06-30,Amara,1,1,33.5,,10,
1870-07-01,Sheikh Saad,0,1,,,1,
1870-07-01,Kut,1,1,11,,5,
1870-07-02,,0,0,,222,,
1870-07-03,[unspecified],0,1,,,1,deckman w letters
1870-07-03,Baghdad - Customs house,0,1,,,all,
1870-07-14,Baghdad,1,0,98.5,,,
1870-07-14,Gherara,0,1,,,1,Mr. Tarth
1870-07-14,Goobba,0,1,,,1,
1870-07-14,[unspecified],0,1,,,2,Naum Abud and Nahern Daniel
1870-07-15,Kut,0,1,,,20,
1870-07-15,Sheikh Saad,0,1,,,1,
1870-07-15,Maghesil,1,1,4,,2,
1870-07-16,Amara,0,1,,,10,
1870-07-16,Qurna,0,1,,,2,
1870-07-17,Basra,0,1,,,all,
1870-07-20,Basra,1,0,69.5,,,
1870-07-20,Qurna,1,1,9,,3,
1870-07-21,Amara,1,1,yes,,11,
1870-07-21,Ali Sharqi,0,1,,,1,
1870-07-22,Maghesil,0,1,,,2,
1870-07-22,Sheikh Saad,0,1,,,2,
1870-07-23,Kut,1,1,39,,12.5,"pass on incl Fattallah Bey and followers, Sheikh Ali of Kut"
1870-07-25,Gherara,0,1,,,1,"Deckman Murad w letter to Blockey + accounts and papers, letters for Eliza Marine, Caudida"
1870-08-01,Baghdad,1,0,56,,,
1870-08-03,Kut,1,1,9,,4,
1870-08-03,Sheikh Saad,1,0,4,,,
1870-08-04,Amara,1,1,11,,27.5,
1870-08-05,Qurna,0,1,,,6,
1870-08-05,Basra,0,1,,,all,
1870-08-06,Basra,1,0,16.5,,,
1870-08-08,Amara,1,1,16,,2,
1870-08-09,Flefleh,0,1,,,1,
1870-08-10,Sheikh Saad,1,0,2,,,
1870-08-10,Kut,0,1,,,3,
1870-08-12,Baghdad - Customs house,0,1,,,all,
1870-08-18,Baghdad,0,0,,,,"Mr and Mrs Williams, Mesud Bey, Mr. Artin Erame  [all going down for ""Babel""]; Blockey, Carolina, Emilia, Medoola, Alice, Miriam Saigh, Takooye Saigh, Stephan, Henry, Cowley [going to Gherara day trip]"
1870-08-18,Gherara,0,1,,,10,his family getting off
1870-08-20,Goobba,0,1,,,1,
1870-08-21,Kut,1,1,26,,7,
1870-08-22,Amara,0,1,,,25,
1870-08-23,Azair,0,1,,,6,
1870-08-23,Qurna,0,1,,,9,
1870-08-25,Basra,1,0,153.5,,,"Fetoohi Naman and wife in 2C; engineer of ""Babel"" in 2C; Felix Tonietti w brother in law Mr Jules Tilly from Suq el Shuyukh going deck"
1870-08-25,Qurna,1,0,4,,,
1870-08-25,Azair,1,0,yes,,,
